//======================= About page,//=================== Am dudalen
About,Ynghylch
UPS has partnered up with Magento to offer a free UPS Shipping and UPS Access Point™ Module that will allow you to integrate and offer a wide range of UPS shipping & delivery solutions directly on your website check-out process! This official UPS Module for Magento gives your customers access to our expansive UPS Access Point network and delivery services.,Mae UPS wedi partneru â Magento i gynnig Modiwl Llongau UPS a Phwynt Mynediad ™ UPS am ddim a fydd yn caniatáu ichi integreiddio a chynnig ystod eang o atebion cludo a dosbarthu UPS yn uniongyrchol ar broses wirio eich gwefan! Mae'r Modiwl UPS swyddogol hwn ar gyfer Magento yn rhoi mynediad i'ch cwsmeriaid i'n rhwydwaith Pwynt Mynediad UPS eang a gwasanaethau dosbarthu.
Features of this product,Nodweddion y cynnyrch hwn
Front Office,Swyddfa Flaen
Simple & easy map interface for your customers to select UPS Access Point as per their preference.,Rhyngwyneb map syml a hawdd i'ch cwsmeriaid ddewis Pwynt Mynediad UPS yn unol â'u dewis.
User-friendly interface for your customers to switch from Access Point delivery to home delivery.,Rhyngwyneb hawdd ei ddefnyddio i'ch cwsmeriaid newid o ddosbarthu Pwynt Mynediad i ddanfoniad cartref.
Real time UPS shipping rate or flat rates for each available service (as per merchant’s back office settings).,Cyfradd cludo UPS amser real neu gyfraddau gwastad ar gyfer pob gwasanaeth sydd ar gael (yn unol â gosodiadau swyddfa gefn y masnachwr).
Back Office,Swyddfa Gefn
"Range of options to set up delivery rates that your customers will see (for example: free shipping, real time shipping rates, or flat rates as per basket value thresholds).","Ystod o opsiynau i sefydlu cyfraddau dosbarthu y bydd eich cwsmeriaid yn eu gweld (er enghraifft: llongau am ddim, cyfraddau cludo amser real, neu gyfraddau gwastad yn unol â throthwyon gwerth basged)."
"Possibility to open a UPS account directly in the module itself, if you do not have one.","Posibilrwydd i agor cyfrif UPS yn uniongyrchol yn y modiwl ei hun, os nad oes gennych un."
Easy PDF label generation.,Cynhyrchu label PDF hawdd.
Real time tracking information.,Gwybodaeth olrhain amser real.
Ability to export open orders so that you can process them in other applications for more complex needs.,Y gallu i allforio archebion agored fel y gallwch eu prosesu mewn cymwysiadau eraill ar gyfer anghenion mwy cymhleth.
Module version number and release date,Rhif fersiwn y modiwl a dyddiad rhyddhau
Module version v,Fersiwn modiwl v
Release date,Dyddiad rhyddhau
Changelog,Newidlog
Platform compatibility statement,Datganiad cydweddoldeb platfform
"Compatible with Magento versions 2.1, 2.2, 2.3","Yn gydnaws â fersiynau Magento 2.1, 2.2, 2.3"
UPS Shipping Module website,Gwefan Modiwl Llongau UPS
For more information visit <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'>https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page</a>,Am ragor o wybodaeth ewch i <a href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page' target='_blank'> https://www.ups .com/% 1/%2/services/technology-integration/ecommerce-plugins.page</a>
For more information visit,Am fwy o wybodaeth ewch i
Support information,Gwybodaeth cymorth
"For assistance with installing, upgrading, or using UPS Shipping Module, please contact UPS at -","Am gymorth gyda gosod, uwchraddio, neu ddefnyddio Modiwl Llongau UPS, cysylltwch â UPS yn -"
Poland +48 (0) 22 203 03 21,Gwlad Pwyl +48 (0) 22 203 03 21
UPS Shipping Module,Modiwl Llongau UPS
UPS Shipping,Llongau UPS
Shipment management,Rheoli cludo
//======================= Country page,//====================================================================
Country setting,Sefyllfa Gwlad
Country Setting,Sefyllfa Gwlad
Please select your country/territory,Dewiswch eich gwlad/tiriogaeth
Continue,Parhau
//======================= Terms and Condition page,//==================== Tudalen Telerau ac Amodau
UPS Terms and Conditions,Telerau ac Amodau UPS
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies, like limiting UPS's liability and my agreement on how disputes between UPS and me will be handled","Rwy'n cytuno i Gytundeb Technoleg UPS ac yn cadarnhau fy mod wedi cael digon o amser i'w ddarllen a deall ei fod yn cynnwys telerau pwysig am fy nefnydd o UPS Technologies, fel cyfyngu atebolrwydd UPS a'm cytundeb ar sut y bydd anghydfodau rhwng UPS a mi. trin"
"I agree to the UPS Technology Agreement and confirm that I've been given enough time to read it and understand that it contains important terms about my use of UPS Technologies,","Rwy'n cytuno i Gytundeb Technoleg UPS ac yn cadarnhau fy mod wedi cael digon o amser i'w ddarllen a deall ei fod yn cynnwys telerau pwysig am fy nefnydd o UPS Technologies,"
like,fel
limiting UPS's liability and my agreement on how disputes between UPS and me will be handled,cyfyngu ar atebolrwydd UPS a fy nghytundeb ar sut yr ymdrinnir ag anghydfodau rhwng UPS a minnau.
Print,Argraffu
Cannot get Term & Condition,Methu cael Term ac Amod
//======================= Account Page,//==================== Tudalen Cyfrif
Account,Cyfrif
ACCOUNT,CYFRIF
For more information on UPS Plugins please click <a target='_blank' href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page'>this link</a> (opens in a new browser window),I gael rhagor o wybodaeth am Ategion UPS cliciwch <a target='_blank' href='https://www.ups.com/%1/%2/services/technology-integration/ecommerce-plugins.page'>y ddolen hon< /a> (yn agor mewn ffenestr porwr newydd)
Please fill the form below to start configuring UPS plug-in for your e-commerce website,Llenwch y ffurflen isod i ddechrau ffurfweddu ategyn UPS ar gyfer eich gwefan e-fasnach
Title,Teitl
Full name,Enw llawn
Full Name,Enw llawn
Company,Cwmni
Email,Ebost
Phone number,Rhif ffôn
Address type,Math o gyfeiriad
Address,Cyfeiriad
Postal code,Côd Post
City,Dinas
Country/Territory,Gwlad/Tiriogaeth
"Example: Warehouse, Branch #1, etc.","Enghraifft: Warws, Cangen #1, ac ati."
"Example: Warehouse, Branch #1","Enghraifft: Warws, Cangen #1"
Street Address,Cyfeiriad stryd
"Apartment, Suite, Unit, Building, Floor, etc.","Fflat, Swît, Uned, Adeilad, Llawr, ac ati."
"Department, c/o, etc.","Adran, d/o, ac ati."
Mr,Mr
Miss,Miss
Mrs,Mrs
Ms,Ms
I have a UPS Account Number WITH an invoice occurred in the last 45 days (90 days if your account is in the US or Canada),Mae gen i Rif Cyfrif UPS GYDA anfoneb wedi digwydd yn y 45 diwrnod diwethaf (90 diwrnod os yw eich cyfrif yn yr Unol Daleithiau neu Ganada)
I have a UPS Account Number WITHOUT an invoice occurred in the last 45 days (90 days if your account is in the US or Canada),Mae gen i Rif Cyfrif UPS HEB anfoneb wedi digwydd yn ystod y 45 diwrnod diwethaf (90 diwrnod os yw'ch cyfrif yn yr Unol Daleithiau neu Ganada)
I do not have a UPS Account Number and would like to get one from the plug-in,Nid oes gennyf rif cyfrif UPS a hoffwn gael un gyda chyfraddau gostyngol o'r ategyn
I don’t have a UPS account number and would,Nid oes gennyf rif cyfrif UPS a byddai
like,fel
to get one with discounted rates from the plug-in,i gael un gyda chyfraddau gostyngol o'r plug-in
The invoice should be 1 of the last 3 issued by UPS in last 45 days (90 days if your account is in the US or Canada),Dylai'r anfoneb fod yn unrhyw un o'r 3 diwethaf a gyhoeddwyd gan UPS yn ystod y 45 diwrnod diwethaf (90 diwrnod os yw'ch cyfrif yn yr Unol Daleithiau neu Ganada)
Account name,Enw cyfrif
Account number,Rhif cyfrif
Invoice number,Rhif anfoneb
Invoice amount,Swm yr anfoneb
Currency,Arian cyfred
Invoice date,Dyddiad yr anfoneb
VAT number,Rhif TAW
Promo Code,Cod Hyrwyddo
Please Note: Shippers are prohibited from shipping dangerous goods or hazardous materials using the account opened in this application.,Sylwch: Gwaherddir cludwyr rhag cludo nwyddau peryglus neu ddeunyddiau peryglus gan ddefnyddio'r cyfrif a agorwyd yn y cais hwn.
Your account will support deliveries to authorized UPS Access Point™ locations after 24 hours.,Bydd eich cyfrif yn cefnogi danfoniadau i leoliadau Awdurdodedig Pwynt Mynediad UPS™ ar ôl 24 awr.
